id,toxic,severe_toxic,obscene,threat,insult,identity_hate
0001ea8717f6de06,0.0,0.0,0.0,0.0,0.0,0.0
000247e83dcc1211,0.0,0.0,0.0,0.0,0.0,0.0
0002f87b16116a7f,0.0,0.0,0.0,0.0,0.0,0.0
0003e1cccfd5a40a,0.0,0.0,0.0,0.0,0.0,0.0
00059ace3e3e9a53,0.0,0.0,0.0,0.0,0.0,0.0
000663aff0fffc80,0.0,0.0,0.0,0.0,0.0,0.0
000689dd34e20979,0.0,0.0,0.0,0.0,0.0,0.0
000844b52dee5f3f,0.0,0.0,0.0,0.0,0.0,0.0
00091c35fa9d0465,0.0,0.0,0.0,0.0,0.0,0.0
000968ce11f5ee34,0.0,0.0,0.0,0.0,0.0,0.0
0009734200a85047,0.0,0.0,0.0,0.0,0.0,0.0
000a02d807ae0254,0.0,0.0,0.0,0.0,0.0,0.0
000bafe2080bba82,0.0,0.0,0.0,0.0,0.0,0.0
000bf0a9894b2807,0.0,0.0,0.0,0.0,0.0,0.0
000c9b92318552d1,0.0,0.0,0.0,0.0,0.0,0.0
000cf60dbaed8c02,0.0,0.0,0.0,0.0,0.0,0.0
000d4f120d5a7303,1.0,0.0,0.0,0.0,0.0,0.0
001068b809feee6b,0.0,0.0,0.0,0.0,0.0,0.0
0011cefc680993ba,0.0,0.0,0.0,0.0,0.0,0.0
0011ef6aa33d42e6,0.0,0.0,0.0,0.0,0.0,0.0
0012bb72f20ae971,0.0,0.0,0.0,0.0,0.0,0.0
00137446b1aec28c,0.0,0.0,0.0,0.0,0.0,0.0
0013a435effa29bd,0.0,0.0,0.0,0.0,0.0,0.0
0013be435187e84f,0.0,0.0,0.0,0.0,0.0,0.0
0013fed3aeae76b7,0.0,0.0,0.0,0.0,0.0,0.0
001411adf8f1dd82,0.0,0.0,0.0,0.0,0.0,0.0
001426f56de6a49b,0.0,0.0,0.0,0.0,0.0,0.0
0016b94c8b20ffa6,0.0,0.0,0.0,0.0,0.0,0.0
00177176f33f587e,0.0,0.0,0.0,0.0,0.0,0.0
0017d4d47894af05,0.0,0.0,0.0,0.0,0.0,0.0
001804717513d860,0.0,0.0,0.0,0.0,0.0,0.0
0019400581a6fe32,0.0,0.0,0.0,0.0,0.0,0.0
001acc29b248cb6d,0.0,0.0,0.0,0.0,0.0,0.0
001bb624469de607,0.0,0.0,0.0,0.0,0.0,0.0
001c368c738a814f,0.0,0.0,0.0,0.0,0.0,0.0
001ceacfd4ffa469,0.0,0.0,0.0,0.0,0.0,0.0
001ceebc43e65027,0.0,0.0,0.0,0.0,0.0,0.0
001d39c71fce6f78,0.0,0.0,0.0,0.0,0.0,0.0
001d739c97bc2ae4,0.0,0.0,0.0,0.0,0.0,0.0
001eba8bbe728e54,0.0,0.0,0.0,0.0,0.0,0.0
001eff4007dbb65b,0.0,0.0,0.0,0.0,0.0,0.0
0020baa22b95d1b0,0.0,0.0,0.0,0.0,0.0,0.0
0020f1b79913e7c0,0.0,0.0,0.0,0.0,0.0,0.0
0023317d123b6fcb,0.0,0.0,0.0,0.0,0.0,0.0
00234e493cedb3e1,0.0,0.0,0.0,0.0,0.0,0.0
0023f3f84f353bce,0.0,0.0,0.0,0.0,0.0,0.0
0025a91b6955f1a5,0.0,0.0,0.0,0.0,0.0,0.0
0025c49d87d9a18f,0.0,0.0,0.0,0.0,0.0,0.0
0026c91011e3ae35,0.0,0.0,0.0,0.0,0.0,0.0
0028bca06339e02f,0.0,0.0,0.0,0.0,0.0,0.0
0028c5110f1f896b,0.0,0.0,0.0,0.0,0.0,0.0
00293511a845d344,0.0,0.0,0.0,0.0,0.0,0.0
