"id","comment_text","toxic","severe_toxic","obscene","threat","insult","identity_hate"
"001810bf8c45bf5f","You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",1,0,1,0,1,1
"00190820581d90ce","FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!",1,0,1,0,1,0
"001956c382006abd","I'm Sorry 

I'm sorry I screwed around with someones talk page.  It was very bad to do.  I know how having the templates on their talk page helps you assert your dominance over them.  I know I should bow down to the almighty administrators.  But then again, I'm going to go play outside....with your mom.   76.122.79.82",1,0,0,0,0,0
"001b2dd65d9d925c","I don't believe the Lisak criticism present there conforms with the NPV rule.  Lisak doesn't have a neutral point of view to begin with.  If an offer to polygraph or even concerned review of polygraph results shocks a complainant into thinking her lies have been uncovered, the recantation is still perfectly valid.  If you know you are telling the truth, you will argue with machine or investigator.  Also part of Kanin's research was a followup of the recanted story where possible to verify if any were false recantations.  In all followups the recanted version of events matched what the accused said happened.

Arguing that Lisak is a respected PHD is baseless if Kanin is a respected PHD.  I agree that my edit wasn't as neutral as possible though, so apologize for that.  Still something must be done here.",0,0,0,0,0,0
"001c419c445b5a59","You had a point, and it's now ammended with appropriate encyclopedic notability/significance.",0,0,0,0,0,0
"001c557175094f10","In other words, you're too lazy to actually point anything out. Until you change that approach, the tag goes.",0,0,0,0,0,0
"001cadfd324f8087","""
As for your claims of """"stalking"""", that is absolute rubbish and serves only to aggravate the situation. I have assumed good faith (and good intentions) on your part, and have never suggested (or seen reason to suggest) that you might have some ulterior motive in mass-adding links to one specific company's web page. Nor, for that matter, have I ever made any suggestion that this is an """"administrative"""" matter or even mentioned such a role. (Clearly, as a party to this disagreement, I would not do so at any rate as it would be a conflict of interest.) I would ask that you thus extend the same good faith toward me, rather than making spurious and unfounded accusations. ''''''chatspy 

""",0,0,0,0,0,0
"001d874a4d3e8813","""::::Jmabel; in regards to predominant scholary consensus who is it that allegedly claims """"despite """"Third Way"""" rhetoric, fascism in power functioned rather consistently as a right-wing force""""? As far as I'm aware (owning numerous books on the subject) that is not the scholary consensus at all. The consensus, developed by respected scholars of fascism who write in a manner which is not bias to any interest group such as Roger Griffin, Hamish McDonald, Roger Eatwell and Zeev Sternhell all recongise fascism as a """"Third Way"""" as the references show.

The only dissenters I'm aware of who seem to think fascism has absoutely no leftist connections and is merely a radical right system are street level socialists who want to put as much distance between the movements as possible. This of course does not come from educated people in a position to write books. For example, even the foremost scholary expert on Fascism, and a former member of both the Communist Party and then Socialist Party of Italy, Renzo De Felice doesn't try to """"cover up"""" its socialistic origins and third way status. This is a man who has wrote a definitive seven volume piece on Mussolini. -   

""",0,0,0,0,0,0
"001d8e7be417776a","""

BI, you said you wanted to talk

At the bottom of the lead section you have written:

""""Its promoter speculated in 1994 that the skyhook concept could be cost competitive with what is realistically thought to be achievable using a space elevator, but the skyhook is not competitive with other rotating tether concepts. In addition, the rotating skyhook is in fact deemed """"not engineeringly feasible using presently available materials"""".""""

Regarding:  In addition, the rotating skyhook is in fact deemed """"not engineeringly feasible using presently available materials""""

That statement appears to come from Ref [3] on page 10.  The full quote is

""""If the mass of the tether alone started to exceed 200 times the mass of the payload,
then that was an indication the particular scenario being considered was not engineeringly
feasible using presently available materials, although the application might become feasible in
the near future as better materials become available with higher tensile strengths at higher
operational temperatures.""""

It then goes on to say

""""As we shall see, presently available commercial materials will suffice to make the HASTOL
tethers needed. The primary message we want to leave with the Reader is:
“We don't need magic materials like ‘Buckminster-Fuller-carbon-nanotubes’ to make
the space tether facility for a HASTOL system. Existing materials will do.”""""

So it would appear that you misread your reference.  The tether mass of 200 times mass of the payload mass is the upper limit to the problem.  Systems where the tether mass is less than 200 times the payload mass can be built with """"presently available commercial materials.""""

To further reinforce this the Conclusion to the report states

""""The fundamental conclusion of the Phase I HASTOL study effort is that the concept is
technically feasible. We have evaluated a number of alternate system configurations that will
allow hypersonic air-breathing vehicle technologies to be combined with orbiting, spinning space
tether technologies to provide a method of moving payloads from the surface of the Earth into
Earth orbit. For more than one HASTOL architecture concept, we have developed a design
solution using existing, or near-term technologies. We expect that a number of the other
HASTOL architecture concepts will prove similarly technically feasible when subjected to
detailed design studies. The systems are completely reusable and have the potential of drastically
reducing the cost of Earth-to-orbit space access.""""

Regarding: """"but the skyhook is not competitive with other rotating tether concepts."""" and 

""""A 2000 Boeing report on the possibillity of combining skyhooks with hypersonic planes concluded that """"In general, the non-spinning tether HyperSkyhook concept does not look competitive with the spinning tether concepts."""".""""

The full quote is:

""""HyperSkyhook

In 1995 Zubrin proposed the “Hypersonic Skyhook” as a solution to the mismatch between
the attainable atmospheric speeds of a hypersonic airplane and the orbital speeds of space tethers.
Since the orbital speed of the space tether decreases with increasing altitu",0,0,0,0,0,0
"001dc38a83d420cf","GET FUCKED UP. GET FUCKEEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!",1,0,1,0,0,0
"001e89eb3f0b0915","Are you threatening me for disputing neutrality? I know in your country it's quite common to bully your way through a discussion and push outcomes you want. But this is not Russia.",0,0,0,0,0,0
"001ee16c46a99262","Thanks! Undeletion was more than I'd hoped for. I'm researching the status of Texas government (including local government) copyright status, but it's slow going. Apparently works of the Florida government are usually public domain, but we don't have a similar article on Texas, so I guess I'll have to research the old-fashioned, non-lazy, actually reliable way. Or ask the copyright help desk, like you suggested. In the meantime, I'm using the fair use rationale, since it's valid while the image is used in an article. Thanks again! -",0,0,0,0,0,0
"001ffdcc3e7fb49c","Awesome! Then I'll simply disregard your notice. Thanks!",0,0,0,0,0,0
"0020e7119b96eeeb","Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!",1,1,1,0,1,0
"0020fd96ed3b8c8b","=Tony Sidaway is obviously a fistfuckee. He loves an arm up his ass.",1,0,1,0,1,0
"00218d74784ce50b","""

 GA Review II 

I'm sorry to say this, but I have to fail this article's GAN. The several major problems that  brought up in this article's previous GA assessment have not been issued. As s/he has said before me, """"he article's WP:LEAD should be longer. The History, Media attention, Academics, Student Government, Demographics, Trivia, and Additional Information section are very deficient in citiations. Also, Triva and Additional information should be integrated into the rest of the article."""" Again, please look over WP:WIAGA and fix these problem, then renominate it for GA-class. However, I have re-assessed this article as B-class, as it does meet B-class criteria. My regards,   """,0,0,0,0,0,0
